,product_name,price,skin_types
0,The Ordinary Natural Moisturising Factors + HA 30ml,£5.20,"oily, combination, dry"
1,CeraVe Facial Moisturising Lotion SPF 25 52ml,£13.00,"normal,dry,combination"
2,The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,£6.20,"oily,combination,normal"
8,CeraVe Smoothing Cream 177ml,£12.00,"oily, combination, dry"
9,Clinique Moisture Surge 72 Hour Moisturiser 75ml,£37.00,"oily, combination"
17,Neutrogena Hydro Boost City Shield SPF Moisturiser,£12.99,"combination, dry"
21,Embryolisse Lait-Crème Concentré (75ml),£20.00,"oily,combination,dry,sensitive"
22,La Roche-Posay Effaclar H Moisturiser 40ml,£9.99,"oily, combination"
23,Bulldog Original Moisturiser 100ml,£4.50,"oily,combination"
24,Clinique Dramatically Different Moisturising Gel 125ml with Pump,£30.00,"oily,combination"
26,Avene Very High Protection B-Protect SPF 50+ 30ml,£14.00,combination
28,Estée Lauder DayWear Advanced Multi-Protection Anti-Oxidant Creme SPF15 N/C 50ml,£40.50,"normal, combination"
33,First Aid Beauty Hello FAB Coconut Water Cream,£30.00,combination
41,Origins GinZing™ Energy-Boosting Tinted Moisturiser SPF40 50ml,£32.00,"combination, oily, sensitive"
42,Estée Lauder DayWear Multi-Protection Anti-Oxidant Creme SPF 15 30ml,£25.20,"combination, normal"
43,Elizabeth Arden Eight Hour Great 8 Daily Defense Moisturizer 45ml,£36.00,"oily,combination"
44,Skin Doctors Sd White & Bright (50ml),£21.99,"combination,sensitive"
46,Elizabeth Arden Eight Hour Cream Skin Protectant (50ml),£28.00,"normal,dry,combination"
49,La Roche-Posay Effaclar MAT+ 40ml,£17.00,"oily, combination"
57,Bulldog Age Defence Moisturiser 100ml,£6.75,"oily,combination"
65,Caudalie Vinoperfect Dark Spot Correcting Glycolic Night Cream 50ml,£34.00,"oily, combination"
66,L'Oréal Men Expert Pure & Matte Anti-Shine Moisturising Gel (50ml),£4.99,"oily,combination"
67,Estée Lauder Revitalising Supreme + Global Anti-ageing Cell Power Crème 30ml,£44.10,"dry, normal, combination"
70,Antipodes Baptise H20 Ultra-Hydrating Water Gel 60ml,£25.58,"oily, dry, combination, sensitive"
76,Fade Out ADVANCED Even Skin Tone Night Cream 50ml,£9.99,"normal,dry,combination"
77,NIOD Hydration Vaccine Face Cream 50ml,£35.00,"oily,combination,sensitive"
79,Clinique Moisture Surge Intense Skin Fortifying Hydrator 50ml,£37.00,"normal,dry,combination"
81,L'Oréal Paris Hydra Genius Liquid Care Moisturiser for Normal Combination Skin 70ml 2 Pack Exclusive,£13.99,"normal, combination"
87,Clinique Moisture Surge SPF25 Sheertint Hydrator - Universal Light Medium 40ml,£30.00,"combination, sensitive"
88,The INKEY List Bakuchiol Moisturiser 30ml,£9.99,"oily,combination,normal"
89,COSRX Advanced Snail 92 All in One Cream 100ml,£27.00,"oily,combination,dry,sensitive"
91,Eucerin Anti-Pigment SPF30 Day Cream 50ml,£25.00,"oily, combination"
94,Fade Out ADVANCED Even Skin Tone Day Cream SPF 25 50ml,£9.99,"oily,combination"
98,Fade Out ADVANCED + Age Protection Even Skin Tone Day Cream SPF 25 50ml,£12.99,"oily, combination, sensitive"
99,Bulldog Protective Moisturiser 100ml,£6.75,"oily, combination"
100,Alpha-H Daily Essential Moisturiser Spf50+ (50ml),£29.00,"combination,sensitive"
102,Estée Lauder DayWear Anti-Oxidant 72H-Hydration Sorbet Creme SPF 15 50ml,£40.50,"dry, normal, combination"
103,Liz Earle Skin Repair Light,£23.00,"oily,combination,normal"
104,Elemis Peptide4 Plumping Pillow Facial,£52.00,"combination, sensitive"
105,Murad Oil and Pore Control Mattifier SPF45 PA 50ml,£35.00,"oily, combination"
109,Clinique Smart SPF 15 Custom Repair Moisturiser - Dry to Combination Skin - 50ml,£52.00,"dry,combination"
112,First Aid Beauty Ultra Repair Face Moisturiser (50ml),£20.00,"dry, sensitive, combination"
113,Bioderma Hydrabio Gel Cream 40ml,£15.20,"oily, combination"
114,Estée Lauder NightWear Plus Anti-Oxidant Night Detox Crème 50ml,£44.10,"oily,combination,normal"
115,The Ordinary 10% Agireline Solution 30ml,£5.80,"normal, combination, aging"
116,The Ordinary Buffet Supersize Serum 60ml,£24.40,"dry, combination, sensitive"
118,Medik8 C-Tetra Serum 30ml,£35.00,"normal, combination"
120,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 50ml,£70.20,"normal,dry,combination,sensitive"
121,The Ordinary Hyaluronic Acid 2% + B5 Supersize Serum 60ml,£11.00,"oily, combination, sensitive"
122,The Ordinary Marine Hyaluronics 30ml,£6.20,"oily, combination, sensitive"
125,La Roche-Posay Pure Vitamin C10 Serum 30ml,£38.00,"oily,combination"
126,PIXI Overnight Glow Serum,£26.00,"oily,combination"
127,Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 50ml,£64.00,"oily,combination,normal"
129,NIP+FAB Dragons Blood Fix Serum 50ml,£19.95,"oily, combination"
133,Medik8 Crystal Retinal 6,£59.00,"normal,dry,combination"
136,Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 30 Pieces (Sleeved Version),£42.00,"oily,combination,aging"
140,Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 30ml,£45.00,"oily,combination,normal"
141,Elizabeth Arden Retinol Ceramide Capsules Line Erasing Night Serum - 60 Pieces (Sleeved Version),£72.00,"oily,combination,aging"
143,PIXI Glow Tonic Serum 30ml,£26.00,"oily, combination"
144,DECLÉOR Aromessence Neroli Amara Serum 15ml,£36.40,"oily, combination"
145,The Ordinary Amino Acids + B5,£5.90,"normal,combination, oily"
147,REN Clean Skincare Radiance Perfection Serum,£38.00,"oily,combination"
149,La Roche-Posay Hydraphase Intense Serum (30ml),£22.00,"oily,combination"
150,L'Oréal Paris Hydra Genius Liquid Care Moisturiser Combination Skin 70ml,£9.99,combination
151,bareMinerals SkinLongevity Vital Power Infusion Serum 50ml,£48.00,"oily,combination,dry"
154,Estée Lauder Perfectionist Pro Multi-Defense Aqua UV Gel SPF 50 with 8 Anti-Oxidants,£32.40,"oily,combination,normal"
155,NIP+FAB Retinol Fix Serum Extreme 50ml,£29.95,"combination, mature"
156,Origins Plantscription Anti-Aging Power Serum 50ml,£65.00,"oily,dry,combination,aging"
157,Estée Lauder Perfectionist Pro Rapid Brightening Treatment with Ferment2+ Vitamin C 50ml,£77.40,"oily,combination,normal"
158,Peter Thomas Roth Retinol Fusion PM 30ml,£55.50,"oily,combination,acne-prone"
159,Elizabeth Arden Skin Illuminating Advanced Brightening Night Capsules (50 Capsules),£60.00,"oily,combination"
164,La Roche-Posay Pigmentclar Serum 30ml,£30.00,"oily, combination"
165,"Clinique Repairwear Laser Focus Smooths, Restores, Refines 50ml",£47.00,"normal,dry,combination"
166,DECLÉOR Aromessence Green Mandarin Essential Oil Serum 15ml,£38.50,"dry, combination, mature"
168,Lancôme Advanced Génifique Youth Activating Serum 30ml,£53.55,"oily, combination, sensitive"
169,Lancôme Advanced Génifique Youth Activating Serum 50ml,£75.15,"normal,dry,combination"
170,Lancôme Advanced Génifique Youth Activating Serum 75ml,£90.45,"oily,dry,combination,sensitive"
171,Lancôme Advanced Génifique Youth Activating Serum 115ml,£114.30,"normal, dry, combination"
175,Dr. Hauschka Night Serum 20ml,£29.50,"oily,combination"
177,Lancôme Génifique Double Drop Serum 20ml,£54.00,"dry, combination"
178,SkinCeuticals Discoloration Defense Corrective Serum 30ml,£85.00,"oily,combination,sensitive"
179,Aurelia Probiotic Skincare Revitalise & Glow Serum 30ml,£51.20,"oily, combination, sensitive"
180,Estée Lauder Idealist Pore Minimizing Skin Refinisher 30ml,£42.30,"oily,combination"
190,Dr Dennis Gross Skincare C+Collagen Brighten and Firm Vitamin C Serum 30ml,£79.00,"oily,combination"
191,Estée Lauder Perfectionist Pro Rapid Firm + Lift Serum Hexapeptide-8 50ml,£77.40,"dry, normal, combination, oily"
192,GLAMGLOW Superserum 30ml,£48.00,"oily, combination"
200,Holika Holika 3 Seconds Starter (Collagen),£12.95,"oily,dry,combination,sensitive"
202,The Organic Pharmacy Four Acid Peel Serum 30ml,£30.00,"oily, combination"
203,Indeed Labs Snoxin Serum 2 30ml,£24.99,"normal, combination"
207,Lancôme Visionnaire Serum Plus 30ml,£57.60,"combination,sensitive"
210,Indeed Labs Pepta-Bright 30ml,£24.99,"oily, combination"
212,Elizabeth Arden Skin Illuminating Advanced Brightening Day Serum (30ml),£55.00,"oily, combination"
216,Dermalogica Multivitamin Power Serum (22ml),£57.15,"oily,combination,aging"
217,Sarah Chapman Skinesis Skin Tone Perfecting Booster (30ml),£64.00,"oily,combination,normal"
218,DECLÉOR Hydra Floral White Petal Skin Perfecting Concentrate 30ml,£36.40,"oily, combination"
219,Darphin Dark Circle Relief and De-Puffing Eye Serum 15ml,£42.00,"oily, combination"
222,L'Oréal Paris Revitalift Filler + Hyaluronic Acid Replumping Serum 16ml,£19.99,"dry, combination"
223,Elizabeth Arden Prevage Advanced Daily Serum,£180.00,"combination, mature"
226,The Organic Pharmacy Stabilised Vitamin C Serum 30ml,£45.00,"oily, combination"
227,Erno Laszlo AHA Resurfacing Sleep Serum,£95.00,"oily, combination"
229,DHC Deep Cleansing Oil 70ml,£12.50,"oily,combination"
232,Clinique Take The Day Off Cleansing Oil 200ml,£23.00,"oily,combination"
249,Caudalie VineActiv Overnight Detox Oil 30ml,£30.00,"oily, combination"
260,Sanctuary Spa Calming CBD Oil 45ml,£12.50,"oily, combination, sensitive"
267,Elemis Pro-Collagen Marine Oil 15ml,£67.00,"Dry, combination"
271,DHC Pore Cleansing Oil (150ml),£25.00,"oily, combination"
274,Bondi Sands Sunscreen SPF15 Oil 150ml,£6.39,"oily, combination"
278,Bondi Sands Sunscreen SPF30 Oil 150ml,£6.39,"oily, combination"
279,L'Oréal Paris Extraordinary Oil Cream 50ml,£14.99,"oily,combination,acne-prone"
284,Rodial Vitamin C Deluxe Drops 10ml,£27.00,"oily, combination"
290,Erno Laszlo Detoxifying Cleansing Oil 195ml,£55.00,"oily, combination"
294,Trilogy CoQ10 Booster Oil 20ml,£31.50,"oily, combination"
304,La Roche-Posay Anthelios Anti-Shine Sun Protection Invisible SPF50+ Face Mist 75ml,£14.00,"oily,combination"
305,PIXI Glow Mist 80ml,£16.00,"dry, normal, combination"
311,Garnier Ambre Solaire Dry Mist Fast Absorbing Sun Cream Spray SPF30 200ml,£8.00,combination
312,ELEMIS Superfood Kefir-Tea Mist 100ml,£26.00,"oily, combination, sensitive"
313,PIXI Sun Mist 80ml,£18.00,"oily,combination"
316,Omorovicza Queen of Hungary Mist 30ml,£20.00,"oily,combination,normal"
320,PIXI Vitamin Wakeup Mist 80ml,£16.00,"combination,dry,normal"
323,Lumene Nordic C Valo Glow Refresh Hydrating Mist 50ml,£9.00,"oily,combination,normal"
325,Garnier Natural Vegan Rose Soothing Hydrating Glow Mist 150ml,£5.99,"oily,combination,normal"
327,Zelens Z Balance Prebiotic and Probiotic Facial Mist 50ml,£48.00,"oily, combination, sensitive"
328,Bondi Sands Self Tanning Mist 250ml - Light/Medium,£11.99,"oily,combination"
329,Revolution Skincare CBD Essence Spray 100ml,£6.00,"oily, combination"
333,Neal's Yard Remedies Frankincense Hydrating Facial Mist 45ml,£13.00,"oily,combination,sensitive"
334,Crystal Clear Revitalising Tonic 200ml,£20.99,"oily,combination"
335,Garnier Organic Argan Mist 150ml,£5.99,"oily,combination"
337,Revolution Skincare x Jake Jamie Tropical Quench Essence Spray 100ml,£6.00,"oily, combination"
338,Jurlique Rosewater Balancing Mist (100ml),£30.00,"oily,combination,sensitive"
339,NUXE Refreshing Toning Mist 200ml,£15.50,"normal, combination"
340,Bondi Sands Self Tanning Mist 250ml - Dark,£11.99,"oily,combination"
341,A'kin Hydrating Mist Toner 150ml,£12.50,"oily,combination,sensitive"
342,Jurlique Rosewater Balancing Mist 100ml,£32.00,"oily, combination"
343,Aveda Botanical Kinetics Toning Mist 150ml,£19.00,"oily,combination,sensitive"
344,Rodial Dragon's Blood Essence 100ml,£38.00,"oily, combination, sensitive"
345,Origins Ginzing™ Energy-Boosting Treatment Lotion Mist 150ml,£18.50,"oily,combination"
346,ULTRASUN CLEAR SPRAY SPF30 - SPORTS FORMULA (150ML),£26.00,"oily,combination"
347,Salcura Antiac Activ Liquid Spray (50ml),£10.99,"oily, combination, sensitive"
348,Revolution Skincare Caffeine Essence Spray 100ml,£6.00,"oily, combination"
349,Sea Magik Sunsafe SPF50 Clear Spray 150ml,£15.95,"combination, sensitive"
353,Murad Prebiotic 3-in-1 MultiMist 100ml,£30.00,"combination,sensitive"
354,Bloom and Blossom Rejuvenating Facial Spritz (100ml),£12.00,"oily, combination"
357,Natio Refreshing Face Mist (75ml),£8.40,"oily,combination,sensitive"
362,James Read Instant Bronzing Mist 200ml,£25.00,"oily,combination"
364,Lumene Nordic C [Valo] Glow Refresh Hydrating Mist 100ml,£17.90,"oily,dry,combination,sensitive"
365,OSKIA SPF Vitamin Mist 100ml,£46.00,"oily,combination,sensitive"
366,Holika Holika Aloe Soothing Essence 98% Mist,£19.95,"normal,oily,combination,sensitive"
369,Natura Bissé C+C Vitamin Splash 200ml,£42.00,"oily,combination"
371,Clinique Virtu-Oil Body Mist SPF30 144ml,£23.00,"oily, combination"
373,Avant Skincare PH Balancing & Brightening Rose Infusion Day Mist 30ml,£80.00,"oily, combination"
382,NIOD Superoxide Dismutase Saccharide Mist 240ml,£34.00,"oily, combination, sensitive"
383,Eve Lom Radiance Face Mist 48ml,£38.00,"normal, combination, sensitive"
390,La Roche-Posay Cicaplast Baume B5 Repairing Balm SPF 50 40ml,£8.00,"oily,combination,normal"
411,PIXI Rose Flash Balm 45ml,£26.00,"oily, combination, sensitive"
423,benefit Dr Feelgood Velvety Complexion Balm,£29.00,combination
427,Rodial Bee Venom Cleansing Balm 100ml,£65.00,"oily,combination"
440,MONUPLUS Beauty Balm (50ml),£39.95,"oily, combination"
452,Garnier Moisture Bomb Green Tea Hydrating Face Sheet Mask for Combination Skin 32g,£2.99,Combination
454,Holika Holika Pure Essence Mask Sheet - Charcoal,£1.95,"oily, combination"
457,REN Clean Skincare Glycol Lactic Radiance Mask,£36.00,"oily,combination,normal"
458,NARS Cosmetics Aqua Gel Luminous Mask,£31.00,"combination, sensitive"
461,La Roche-Posay Effaclar Clay Mask 100ml,£14.00,"oily,combination"
468,Oh K! Peeling Foot Mask 20ml,£8.50,"oily, combination"
470,Garnier Charcoal and Algae Purifying and Hydrating Face Sheet Mask for Enlarged Pores 28g,£2.99,"oily, combination"
473,APIVITA Express Detox Face Mask - Pumpkin 2x8ml,£4.00,"combination, sensitive"
476,Caudalie Instant Detox Mask (75ml),£22.00,"oily, combination"
483,APIVITA Express Deep Cleansing Face Mask - Green Clay 2x8ml,£4.00,"combination, oily"
484,BeautyPro Detoxifying Foaming Cleansing Sheet Mask with Activated Charcoal,£4.95,"oily, combination"
485,GLAMGLOW Supermud Mask 15g,£16.00,"oily,acne-prone,combination"
489,Estée Lauder Perfectly Clean Foam Cleanser/Purifying Mask 150ml,£21.60,"oily, combination"
490,Origins Original Skin Retexturizing Mask with Rose Clay 75ml,£22.00,"oily,combination"
492,AHAVA Single Use Brightening & Hydration Mask 6ml,£2.36,"oily,combination"
496,OSKIA Renaissance Mask (50ml),£60.00,"oily,combination"
498,PIXI Glow Mud Mask 30ml,£18.00,"oily,combination,acne-prone"
500,NIP+FAB Glycolic Fix Extreme Bubble Mask 23g,£7.00,"oily, combination"
502,L'Oréal Paris Pure Clay Detox Face Mask 50ml,£7.99,"oily, combination, normal"
503,Origins Clear Improvement Active Charcoal Mask to Clear Pores 75ml,£22.00,"oily, combination"
504,Peter Thomas Roth Cucumber Gel Mask 14ml,£6.72,"oily,combination,sensitive"
511,BARBER PRO Face Putty Black Peel-Off Mask with Activated Charcoal (3 Applications),£4.95,"oily, combination, sensitive"
514,Peter Thomas Roth Cucumber Gel Mask 150ml,£41.60,"oily,combination,sensitive"
517,Neutrogena Radiance Boost Hydrogel Recovery Mask 30ml,£3.50,"oily,combination,normal"
525,AHAVA Single Use Clearing Mask 6ml,£2.36,"oily, combination"
526,FARMACY Honey Potion Renewing Antioxidant Hydration Mask,£36.00,"dry, normal, combination"
527,Liz Earle Deep Cleansing Mask 75ml,£19.00,"oily,combination"
528,Vichy Quenching Mineral Mask Duo Sachet 2 x 6ml,£3.00,"combination, oily"
529,AHAVA Single Use Mud Mask 8ml,£2.36,"oily, combination"
530,Sanctuary Spa Charcoal Bubble Sheet Mask 22g,£5.00,"oily, combination"
534,Origins Clear Improvement Charcoal Honey Mask to Purify and Nourish 75ml,£30.00,"oily,combination"
541,FOREO UFO Activated Masks - Make My Day (7 Pack),£9.99,"combination, dry, sensitive"
543,REN Clean Skincare Clarimatte Invisible Pores Detox Mask,£28.00,"oily, combination"
544,Eve Lom Rescue Mask (100ml),£55.00,"oily,combination,acne-prone"
545,GLAMGLOW Supermud Mask 50g,£44.00,"oily, combination, acne-prone"
548,AHAVA Purifying Mud Mask 100ml,£28.99,"oily, combination"
553,Omorovicza Deep Cleansing Mask (50ml),£72.00,"oily, combination"
554,Sukin Oil Balancing + Charcoal Anti-Pollution Facial Masque 100ml,£11.95,"oily, combination"
556,Peter Thomas Roth Pumpkin Enzyme Mask 150ml,£50.00,"oily, combination, sensitive"
558,Sanctuary Spa 5 Minute Thermal Charcoal Detox Mask 75ml,£10.00,"oily, combination"
560,Murad Pore Extractor Pomegranate Mask,£30.00,"oily, combination"
566,Antipodes Halo Skin Brightening Facial Mud Mask 75g,£26.99,"Combination, oily"
567,APIVITA Deep Cleansing Face Mask - Green Clay 50ml,£12.30,"oily, combination"
568,L'Oréal Paris Pure Clay Glow Face Mask 50ml,£7.99,"oily, combination"
569,The Ordinary Lactic Acid 10% + HA 2% Superficial Peeling Formulation 30ml,£6.10,"oily,combination"
570,The Ordinary Lactic Acid 5% + HA 2% Superficial Peeling Formulation 30ml,£5.80,"oily, combination"
571,The INKEY List Apple Cider Vinegar Acid Peel 30ml,£14.99,"oily, combination"
572,Elemis Papaya Enzyme Peel 50ml,£35.00,"oily, combination"
575,Elizabeth Arden Visible Difference Peel & Reveal Revitalizing Mask (50ml),£26.00,"oily,combination"
576,Murad Replenishing Multi-Acid Peel 100ml,£48.00,"oily, combination"
577,Peter Thomas Roth FirmX Peeling Gel 100ml,£40.00,"oily, combination, sensitive"
578,Murad Intensive-C Radiance Peel 50ml,£55.00,"combination, sensitive"
579,Peter Thomas Roth Peptide 21 Amino Acid Exfoliating Peel Pads - 60 Pads,£41.60,"oily, combination"
580,Lancer Skincare Caviar Lime Acid Peel 50ml,£90.00,"oily,combination"
581,Alpha-H Beauty Sleep Power Peel 50ml,£43.20,"oily, combination"
