,product_name,price,skin_types
0,The Ordinary Natural Moisturising Factors + HA 30ml,£5.20,"oily, combination, dry"
1,CeraVe Facial Moisturising Lotion SPF 25 52ml,£13.00,"normal,dry,combination"
3,AMELIORATE Transforming Body Lotion 200ml,£22.50,"dry, sensitive"
4,CeraVe Moisturising Cream 454g,£16.00,"dry, sensitive"
5,CeraVe Moisturising Lotion 473ml,£15.00,"normal,dry,sensitive"
6,CeraVe Facial Moisturising Lotion No SPF 52ml,£13.00,"dry, sensitive"
7,The Ordinary Natural Moisturizing Factors + HA 100ml,£6.80,"dry, sensitive"
8,CeraVe Smoothing Cream 177ml,£12.00,"oily, combination, dry"
10,CeraVe Moisturising Cream 50ml,£4.00,"dry, sensitive"
11,CeraVe Moisturising Cream 340g,£13.00,"dry, sensitive"
12,First Aid Beauty Ultra Repair Cream (56.7g),£12.00,"dry,sensitive,normal"
14,Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump,£30.00,dry
15,First Aid Beauty Ultra Repair Cream (170g),£25.00,"dry,sensitive"
16,Weleda Skin Food (75ml),£12.95,"dry, sensitive"
17,Neutrogena Hydro Boost City Shield SPF Moisturiser,£12.99,"combination, dry"
18,Egyptian Magic All Purpose Skin Cream 118ml/4oz,£30.00,"dry, sensitive"
20,CeraVe Moisturising Cream 177ml,£9.00,"dry, sensitive"
21,Embryolisse Lait-Crème Concentré (75ml),£20.00,"oily,combination,dry,sensitive"
27,Avène Tolérance Extrême Emulsion 50ml,£11.25,"dry, sensitive"
29,Embryolisse Lait-Crème Concentré (30ml),£13.00,"dry,normal,sensitive"
30,The Chemistry Brand Intense Youth Complex Hand Cream 100ml,£18.99,"dry, sensitive"
31,Avène Tolérance Extrême Cream 50ml,£15.00,"dry,sensitive"
32,La Roche-Posay Toleriane Ultra Overnight Moisturiser 40ml,£19.00,"dry, sensitive"
34,Elemis Pro-Collagen Marine Cream SPF30 50ml,£87.00,"normal,dry"
35,Avène Aqua Gel 50ml,£20.00,"dry,sensitive"
37,The INKEY List Snow Mushroom,£9.99,"normal,dry,sensitive"
38,Weleda Skin Food (30ml),£7.95,"dry, sensitive"
39,Egyptian Magic All Purpose Skin Cream 59ml/2oz,£20.00,"dry, sensitive"
40,La Roche-Posay Nutritic Intense Rich 50ml,£18.00,dry
45,Origins GinZing Ultra Hydrating Energy-Boosting Cream Moisturiser 50ml,£25.00,dry
46,Elizabeth Arden Eight Hour Cream Skin Protectant (50ml),£28.00,"normal,dry,combination"
47,PRAI AGELESS Throat & Decolletage Crème 50ml,£24.99,"dry,sensitive"
50,Mama Mio The Tummy Rub Butter 120ml - Fragrance Free,£24.00,"dry, sensitive"
51,Clinique Moisture Surge 72 Hour Auto Replenishing Hydrator 50ml,£37.00,"dry, dehydrated"
52,Elemis Pro-Collagen Marine Cream 50ml,£87.00,"normal,dry,sensitive"
53,La Roche-Posay Toleriane Ultra Fluid 40ml,£18.50,"dry, sensitive"
54,Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator 15ml,£12.00,"dry, sensitive"
55,Clinique for Men Moisturising Lotion 100ml,£25.40,"dry,normal"
59,Caudalie Vinosource Moisturising Sorbet 40ml,£23.00,"dry, sensitive"
61,The INKEY List Turmeric Moisturiser 30ml,£7.99,"dry,sensitive"
64,Avene Hydrance Hydrating Cream 40ml,£15.50,"dry, sensitive"
67,Estée Lauder Revitalising Supreme + Global Anti-ageing Cell Power Crème 30ml,£44.10,"dry, normal, combination"
68,The Chemistry Brand Heel Hydration Complex 100ml,£14.99,dry
69,Elizabeth Arden Visible Difference Refining Moisture Cream (75ml),£30.00,"normal,dry"
70,Antipodes Baptise H20 Ultra-Hydrating Water Gel 60ml,£25.58,"oily, dry, combination, sensitive"
71,L'Oréal Paris Dermo Expertise Triple Active Hydrating Night Moisturiser (50ml),£7.49,"dry, normal"
73,Dr.Jart+ Ceramidin Cream 50ml,£35.50,"dry, sensitive"
74,Erno Laszlo Phelityl Night Cream 50ml,£135.00,"oily,dry,normal"
75,Antipodes Avocado Pear Nourishing Night Cream 60ml,£34.99,"dry,sensitive"
76,Fade Out ADVANCED Even Skin Tone Night Cream 50ml,£9.99,"normal,dry,combination"
78,The INKEY List Peptide Moisturizer 50ml,£14.99,"dry, sensitive"
79,Clinique Moisture Surge Intense Skin Fortifying Hydrator 50ml,£37.00,"normal,dry,combination"
80,Clinique Moisture Surge 72-Hour Auto Replenishing Hydrator 30ml,£25.00,"dry, dehydrated, normal"
82,Murad Hydro-Dynamic™ Ultimate Moisture (50ml),£60.00,"dry, sensitive"
83,Clinique Redness Solutions Daily Relief Cream 50ml,£42.00,"Dry, sensitive"
84,DECLÉOR Hydra Floral Anti-Pollution Hydrating Rich Cream,£32.20,"dry, sensitive"
85,Elemis Pro-Collagen Oxygenating Night Cream 50ml,£99.00,dry
86,Weleda Skin Food 75ml - Light,£12.95,"dry,sensitive"
89,COSRX Advanced Snail 92 All in One Cream 100ml,£27.00,"oily,combination,dry,sensitive"
90,bareMinerals Butter Drench Intense Moisurising Day Cream,£32.00,dry
95,First Aid Beauty Coconut Skin Smoothie Priming Moisturiser,£20.50,"dry,sensitive"
96,Avène Rich Revitalizing Nourishing Cream 50ml,£17.50,"dry, sensitive"
97,REN Clean Skincare Evercalm Global Protection Day Cream,£34.00,"Dry,Sensitive"
101,Pai Skincare Chamomile and Rosehip Calming Day Cream 50ml,£38.00,"dry,sensitive"
102,Estée Lauder DayWear Anti-Oxidant 72H-Hydration Sorbet Creme SPF 15 50ml,£40.50,"dry, normal, combination"
106,Clinique for Men Anti-Age Moisturiser 100ml,£32.50,"normal, dry"
107,AMELIORATE Transforming Body Cream 225ml,£27.50,"dry, sensitive"
108,"JASON Age Renewal Vitamin E 25,000iu Cream (120g)",£9.99,"dry, sensitive"
109,Clinique Smart SPF 15 Custom Repair Moisturiser - Dry to Combination Skin - 50ml,£52.00,"dry,combination"
110,Mama Mio The Tummy Rub Butter 120ml - Lavender and Mint,£24.00,"dry, sensitive"
111,Neal's Yard Remedies Vitamin E and Avocado Night Cream 50g,£22.00,"dry, sensitive"
112,First Aid Beauty Ultra Repair Face Moisturiser (50ml),£20.00,"dry, sensitive, combination"
116,The Ordinary Buffet Supersize Serum 60ml,£24.40,"dry, combination, sensitive"
117,The Ordinary 100% Pycnogenol 5% 15ml,£8.90,dry
119,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 30ml,£52.20,"normal,dry,sensitive"
120,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 50ml,£70.20,"normal,dry,combination,sensitive"
123,Avene Hydrance Intense Serum 30ml,£20.00,dry
124,VICHY Minéral 89 Hyaluronic Acid Hydration Booster 50ml,£25.00,"normal,dry,sensitive"
128,Medik8 Hydr8 B5 Serum 30ml,£40.00,"normal,dry,sensitive"
130,By Terry Cellularose CC Serum 30ml (Various Shades),£61.00,"dry,sensitive"
132,NIOD Multi-Molecular Hyaluronic Complex 15ml,£25.00,"dry,sensitive"
133,Medik8 Crystal Retinal 6,£59.00,"normal,dry,combination"
134,PIXI Collagen and Retinol Serum 30ml,£26.00,"dry, mature"
135,Elizabeth Arden Ceramide Capsules Advanced (90 Capsules),£84.00,"dry, mature"
137,Tan-Luxe Super Glow Body Hyaluronic Self-Tan Serum 150ml,£35.00,"dry,sensitive"
139,La Roche-Posay Toleriane Ultra Cream,£18.50,"dry, sensitive"
142,VICHY Minéral 89 Hyaluronic Acid Hydration Booster 75ml,£30.00,"Normal, Dry"
146,Lancôme Advanced Génifique Eye and Lash Serum - Light Pearl 20ml,£44.55,dry
148,Sanctuary Spa Hyaluronic Wonder Oil Serum 30ml,£20.00,"dry, sensitive"
151,bareMinerals SkinLongevity Vital Power Infusion Serum 50ml,£48.00,"oily,combination,dry"
153,Elizabeth Arden Advanced Ceramide Capsules Daily Youth Restoring Eye Serum (60 Pack),£52.00,"dry, mature"
156,Origins Plantscription Anti-Aging Power Serum 50ml,£65.00,"oily,dry,combination,aging"
160,Caudalie VineActiv Glow Activating Anti-Wrinkle Serum 30ml,£36.00,"dry,sensitive"
161,Sukin Super Greens Recovery Serum 30ml,£13.95,"dry,sensitive"
162,Pai Skincare Back to Life Hydration Serum 30ml,£42.00,"dry,sensitive"
163,OSKIA Super 16 Serum (30ml),£90.00,"normal,dry,sensitive"
165,"Clinique Repairwear Laser Focus Smooths, Restores, Refines 50ml",£47.00,"normal,dry,combination"
166,DECLÉOR Aromessence Green Mandarin Essential Oil Serum 15ml,£38.50,"dry, combination, mature"
167,DECLÉOR Organic Aromessence Rose d'Orient Soothing Comfort Oil Serum,£36.40,"dry,sensitive"
169,Lancôme Advanced Génifique Youth Activating Serum 50ml,£75.15,"normal,dry,combination"
170,Lancôme Advanced Génifique Youth Activating Serum 75ml,£90.45,"oily,dry,combination,sensitive"
171,Lancôme Advanced Génifique Youth Activating Serum 115ml,£114.30,"normal, dry, combination"
173,Holika Holika 3 Seconds Starter (Hyaluronic Acid),£12.95,"dry, sensitive"
176,Elizabeth Arden SuperStart Skin Renewal Booster 50ml,£60.00,"dry,sensitive"
177,Lancôme Génifique Double Drop Serum 20ml,£54.00,"dry, combination"
181,Estée Lauder Perfectionist [CP+R] Wrinkle Lifting/Firming Serum 30ml,£55.80,"dry,sensitive"
182,DECLÉOR Aromessence Magnolia Youthful Oil Serum 15ml 0.5oz,£49.00,"dry,sensitive"
183,Murad Retinol Youth Renewal Serum Travel Size,£25.00,"dry, mature"
184,Caudalie Resvératrol Lift Firming Serum (30ml),£46.00,dry
187,PIXI Hydrating Milky Serum 30ml,£26.00,"dry, sensitive"
189,Zelens Z Hyaluron Hyaluronic Acid Complex Serum Drops 30ml,£55.00,"dry, sensitive"
191,Estée Lauder Perfectionist Pro Rapid Firm + Lift Serum Hexapeptide-8 50ml,£77.40,"dry, normal, combination, oily"
193,Too Faced Hangover Good in Bed Ultra-Hydrating Replenishing Serum 29ml,£32.00,"dry, dehydrated"
194,Elizabeth Arden Prevage Face Advanced Anti-Aging Serum (50ml),£170.00,"dry,normal,sensitive"
195,Liz Earle Superskin Face Serum 30ml Pump,£45.00,"dry,sensitive"
196,Sukin Purely Ageless Firming Serum 30ml,£19.95,"normal,dry"
197,Bobbi Brown Extra Repair Serum 30ml,£68.50,"dry, mature"
198,Indeed Labs Eysilix Serum 2 15ml,£19.99,"dry,sensitive"
199,Natio Advanced Lifting and Firming Serum (30ml),£15.20,"dry, sensitive"
200,Holika Holika 3 Seconds Starter (Collagen),£12.95,"oily,dry,combination,sensitive"
201,REN Clean Skincare Keep Young and Beautiful Instant Firming Beauty Shot,£42.00,"normal, dry"
204,Neal's Yard Remedies Beauty Sleep Concentrate 30ml,£35.00,dry
205,L'Oreal Paris Dermo Expertise Revitalift Laser Renew Anti-ageing Triple Action Super Serum (30ml),£24.99,"dry,sensitive"
206,ELEMIS Pro-Collagen Definition Face and Neck Serum 30ml,£92.00,"dry, mature"
208,Aurelia Skincare Firm & Replenish Body Serum 250ml,£38.40,"dry,sensitive"
209,Chantecaille Vital Essence 50ml,£96.00,"dry,sensitive"
211,Omorovicza Instant Perfection Serum (30ml),£87.00,"normal,dry"
213,FOREO 'Serum Serum Serum' Micro-Capsule Youth Preserve,£49.00,"dry,sensitive"
214,Aveda Hand Relief Night Renewal Serum 30ml,£27.00,"normal, dry"
215,Sukin Hydration Biomarine Facial Serum 30ml,£19.95,"dry, dehydrated, sensitive"
220,Zelens Youth Concentrate Supreme Age-Defying Serum (30ml),£160.00,"dry, mature"
221,Darphin Hydraskin Serum 30ml,£48.00,"dry,sensitive"
222,L'Oréal Paris Revitalift Filler + Hyaluronic Acid Replumping Serum 16ml,£19.99,"dry, combination"
224,L'Oréal Paris Age Perfect Nutrition Intense Supreme Repairing Serum,£14.99,"dry, mature"
225,Green People Age Defy+ Line Eraser Lip & Eye Serum (10ml),£27.60,"dry,sensitive"
228,DHC Deep Cleansing Oil 30ml,£5.00,"dry, sensitive"
230,DHC Deep Cleansing Oil 200ml,£24.00,dry
231,Pai Skincare Rosehip BioRegenerate Oil 30ml,£24.00,"dry, sensitive"
233,"The Ordinary ""B"" Oil 30ml",£9.00,"dry, sensitive"
234,The Ordinary 100% Cold Pressed Virgin Marula Oil 30ml,£8.40,"dry, sensitive"
235,Caudalie Make-Up Removing Cleansing Oil 150ml,£18.00,dry
236,NUXE Huile Prodigieuse Multi Usage Dry Oil 50ml,£18.50,dry
237,NUXE Huile Prodigieuse Multi Usage Dry Oil 100ml,£29.50,"dry, sensitive"
238,Face by Skinny Tan Moisturising Oil Drops 30ml,£14.99,"dry, normal"
239,The Ordinary 100% Organic Virgin Chia Seed Oil,£6.00,dry
240,Mama Mio The Tummy Rub Oil 120ml,£27.00,"dry,sensitive"
241,NUXE Huile Prodigieuse Golden Shimmer Multi Usage Dry Oil 50ml,£22.50,dry
242,"JASON Vitamin E 5,000iu Oil - All Over Body Nourishment 118ml",£7.49,dry
243,Elizabeth Arden Eight Hour All-Over Miracle Oil (100ml),£29.00,"dry,sensitive"
244,Elemis Superfood Facial Oil 15ml,£45.00,"dry,normal"
245,bareMinerals OIL OBSESSED Oil Cleanser,£24.00,dry
246,Bondi Sands Liquid Gold Self Tanning Oil 150ml,£11.99,"oily, dry"
247,Indeed Labs Squalane Facial Oil 30ml,£19.99,dry
248,TanOrganic Self-Tanning Oil - Brown (100ml),£18.74,"normal,dry"
250,Mama Mio The Tummy Rub Oil 200ml,£35.00,"dry, sensitive"
251,NUXE Sun Tanning Oil Face and Body SPF 30 (150ml),£19.50,"normal, dry"
252,Sarah Chapman Skinesis Supersize Overnight Facial Oil 30ml,£84.00,dry
253,"JASON Vitamin E 32,000iu Oil - Scar & Stretch Mark Treatment 30ml",£9.49,"dry, mature"
254,Bondi Sands Everyday Liquid Gold Gradual Tanning Oil 270ml,£11.19,"dry,normal"
255,Trilogy Certified Organic Rosehip Oil 20ml,£19.50,dry
256,Elizabeth Arden Ceramide Cleansing Face Oil (195ml),£25.00,dry
257,Trilogy Certified Organic Rosehip Oil 45ml,£34.50,"dry, sensitive"
258,BBB London Luscious Lash Oil 7.5ml,£24.00,"dry, sensitive"
259,PIXI Rose Oil Blend 30ml,£26.00,"dry,sensitive"
261,Sukin Rose Hip Oil (25ml),£13.95,"dry, aging"
262,Sanctuary Spa 10-in-1 Super Secret Facial Oil 30ml,£20.00,"dry,sensitive,aging"
263,REN Clean Skincare Bio Retinoid Anti-Wrinkle Concentrate Oil,£47.00,"dry, mature"
264,BBB London Nourishing Brow Oil 11ml,£22.00,"normal,dry"
265,Sanctuary Spa Melt Away Cleansing Oil 150ml,£12.00,dry
266,DECLÉOR Aroma Nutrition Softening Dry Oil (100ml),£28.00,"dry, sensitive"
267,Elemis Pro-Collagen Marine Oil 15ml,£67.00,"Dry, combination"
269,The Chemistry Brand Glow Oil 100ml,£20.00,dry
270,Sanctuary Spa Overnight Replenishing Miracle Oil 30ml,£20.00,"dry, sensitive"
272,L’Oréal Paris Extraordinary Oil Sleeping Oil Night Cream (50ml),£14.99,dry
273,REN Clean Skincare Vita Mineral Omega 3 Optimum Skin Oil,£28.00,dry
275,PIXI Jasmine Oil Blend 30ml,£26.00,"dry,sensitive"
276,Freezeframe Stretch Mark Eraser 80ml,£31.97,"dry,sensitive"
277,MONU Firming Fiji Facial Oil (180ml),£26.95,"normal, dry"
280,Darphin The Revitalising Oil (50ml),£25.00,"dry, mature"
281,Balance Me Radiance Face Oil 30ml,£24.00,"dry,sensitive"
282,AromaWorks Rejuvenate Face Serum Oil 30ml,£14.99,"dry, mature"
283,Peter Thomas Roth Oiless Oil 100% Purified Squalane,£32.00,dry
285,Aurelia Probiotic Skincare Cell Repair Night Oil 50ml,£49.60,"dry,sensitive"
286,Garnier Organic Lavandin Glow Oil 30ml,£11.99,dry
287,Moroccanoil Shimmering Body Oil 50ml,£37.00,dry
288,LIXIRSKIN Night Switch Essential Lipids 15ml,£24.00,dry
289,Trilogy Rosehip Oil Antioxidant+ 30ml,£31.50,"dry, sensitive"
291,Manuka Doctor 24K Gold & Manuka Honey Face Oil 12ml,£15.99,dry
292,Natio Ageless Rosehip Oil Cold Pressed 15ml,£13.60,"dry, mature"
293,Weleda Almond Soothing Facial Oil (50ml),£18.95,"dry, sensitive"
295,DHC Olive Virgin Oil (30ml),£36.50,dry
296,Manuka Doctor Replenishing Facial Oil 25ml,£20.99,"dry, sensitive"
297,Elemis Pro-Definition Facial Oil 15ml,£67.00,"dry, mature"
298,First Aid Beauty Ultra Repair Oat & Cannabis Sativa Seed Oil 30ml,£30.00,"dry,sensitive"
299,Estée Lauder Revitalizing Supreme+ Nourishing and Hydrating Dual Phase Treatment Oil 30ml,£44.10,"dry, sensitive"
300,Bobbi Brown Extra Face Oil 30ml,£46.50,"dry, sensitive"
301,Manuka Doctor ApiRefine Shake and Roll Lip Oil 10ml,£16.99,"dry,sensitive"
302,Darphin Rose Hydra-Nourishing Aromatic Care Oil 15ml,£42.00,"dry, sensitive"
303,Rodial Pink Diamond Oil 30ml,£75.00,"dry,sensitive"
305,PIXI Glow Mist 80ml,£16.00,"dry, normal, combination"
308,Neutrogena Hydro Boost Express Hydrating Spray 200ml,£5.49,"dry, dehydrated"
309,PIXI Hydrating Milky Mist 80ml,£18.00,"dry, sensitive"
310,Garnier Ambre Solaire Natural Bronzer Quick Drying Dark Self Tan Face Mist 75ml,£5.00,"normal,dry"
314,Omorovicza Queen Of Hungary Mist (100ml),£59.00,"dry,sensitive"
315,Lumene Nordic Hydra Lähde Arctic Spring Water Enriched Facial Mist 50ml,£6.50,"dry, sensitive"
318,Revolution Skincare Hyaluronic Essence Spray 100ml,£6.00,"dry,sensitive"
319,NUXE Huile Prodigieuse Florale Mist 100ml,£29.50,dry
320,PIXI Vitamin Wakeup Mist 80ml,£16.00,"combination,dry,normal"
322,Lumene Nordic Hydra [Lähde] Arctic Spring Water Enriched Facial Mist 100ml,£12.00,"dry,sensitive"
324,Elizabeth Arden Eight Hour Miracle Hydrating Mist 100ml,£21.00,"normal,dry,sensitive"
326,Dermalogica Age Smart Antioxidant Hydramist 150ml,£36.00,"normal, dry"
330,Peter Thomas Roth Water Drench Hydrating Toner Mist 150ml,£21.56,"dry, sensitive"
331,Elemis Pro-Collagen Rose Hydro-Mist 50ml,£43.00,"dry, sensitive"
350,Pestle & Mortar Balance Facial Spritz,£28.00,"dry,sensitive"
351,DHC Super Collagen Mist 50ml,£20.00,"normal,dry"
352,Revolution Skincare Superfruit Essence Spray 100ml,£6.00,"oily,dry,sensitive"
355,Zelens PROVITAMIN D Fortifying Facial Mist 50ml,£55.00,"Normal, dry, sensitive"
356,Emma Hardie Plump and Glow Hydrating Mist 90ml,£42.00,"dry,sensitive"
358,Holika Holika Good Cera Super Ceramide Mist,£17.95,"dry,sensitive"
