,product_name,price,skin_types
1,CeraVe Facial Moisturising Lotion SPF 25 52ml,£13.00,"normal,dry,combination"
2,The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,£6.20,"oily,combination,normal"
5,CeraVe Moisturising Lotion 473ml,£15.00,"normal,dry,sensitive"
12,First Aid Beauty Ultra Repair Cream (56.7g),£12.00,"dry,sensitive,normal"
28,Estée Lauder DayWear Advanced Multi-Protection Anti-Oxidant Creme SPF15 N/C 50ml,£40.50,"normal, combination"
29,Embryolisse Lait-Crème Concentré (30ml),£13.00,"dry,normal,sensitive"
34,Elemis Pro-Collagen Marine Cream SPF30 50ml,£87.00,"normal,dry"
37,The INKEY List Snow Mushroom,£9.99,"normal,dry,sensitive"
42,Estée Lauder DayWear Multi-Protection Anti-Oxidant Creme SPF 15 30ml,£25.20,"combination, normal"
46,Elizabeth Arden Eight Hour Cream Skin Protectant (50ml),£28.00,"normal,dry,combination"
52,Elemis Pro-Collagen Marine Cream 50ml,£87.00,"normal,dry,sensitive"
55,Clinique for Men Moisturising Lotion 100ml,£25.40,"dry,normal"
58,The INKEY List Multi-Biotic Moisturiser 30ml,£12.99,"normal,sensitive"
67,Estée Lauder Revitalising Supreme + Global Anti-ageing Cell Power Crème 30ml,£44.10,"dry, normal, combination"
69,Elizabeth Arden Visible Difference Refining Moisture Cream (75ml),£30.00,"normal,dry"
71,L'Oréal Paris Dermo Expertise Triple Active Hydrating Night Moisturiser (50ml),£7.49,"dry, normal"
74,Erno Laszlo Phelityl Night Cream 50ml,£135.00,"oily,dry,normal"
76,Fade Out ADVANCED Even Skin Tone Night Cream 50ml,£9.99,"normal,dry,combination"
79,Clinique Moisture Surge Intense Skin Fortifying Hydrator 50ml,£37.00,"normal,dry,combination"
80,Clinique Moisture Surge 72-Hour Auto Replenishing Hydrator 30ml,£25.00,"dry, dehydrated, normal"
81,L'Oréal Paris Hydra Genius Liquid Care Moisturiser for Normal Combination Skin 70ml 2 Pack Exclusive,£13.99,"normal, combination"
88,The INKEY List Bakuchiol Moisturiser 30ml,£9.99,"oily,combination,normal"
102,Estée Lauder DayWear Anti-Oxidant 72H-Hydration Sorbet Creme SPF 15 50ml,£40.50,"dry, normal, combination"
103,Liz Earle Skin Repair Light,£23.00,"oily,combination,normal"
106,Clinique for Men Anti-Age Moisturiser 100ml,£32.50,"normal, dry"
114,Estée Lauder NightWear Plus Anti-Oxidant Night Detox Crème 50ml,£44.10,"oily,combination,normal"
115,The Ordinary 10% Agireline Solution 30ml,£5.80,"normal, combination, aging"
118,Medik8 C-Tetra Serum 30ml,£35.00,"normal, combination"
119,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 30ml,£52.20,"normal,dry,sensitive"
120,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 50ml,£70.20,"normal,dry,combination,sensitive"
124,VICHY Minéral 89 Hyaluronic Acid Hydration Booster 50ml,£25.00,"normal,dry,sensitive"
127,Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 50ml,£64.00,"oily,combination,normal"
128,Medik8 Hydr8 B5 Serum 30ml,£40.00,"normal,dry,sensitive"
133,Medik8 Crystal Retinal 6,£59.00,"normal,dry,combination"
140,Clinique Even Better Clinical Radical Dark Spot Corrector + Interrupter 30ml,£45.00,"oily,combination,normal"
142,VICHY Minéral 89 Hyaluronic Acid Hydration Booster 75ml,£30.00,"Normal, Dry"
145,The Ordinary Amino Acids + B5,£5.90,"normal,combination, oily"
154,Estée Lauder Perfectionist Pro Multi-Defense Aqua UV Gel SPF 50 with 8 Anti-Oxidants,£32.40,"oily,combination,normal"
157,Estée Lauder Perfectionist Pro Rapid Brightening Treatment with Ferment2+ Vitamin C 50ml,£77.40,"oily,combination,normal"
163,OSKIA Super 16 Serum (30ml),£90.00,"normal,dry,sensitive"
165,"Clinique Repairwear Laser Focus Smooths, Restores, Refines 50ml",£47.00,"normal,dry,combination"
169,Lancôme Advanced Génifique Youth Activating Serum 50ml,£75.15,"normal,dry,combination"
171,Lancôme Advanced Génifique Youth Activating Serum 115ml,£114.30,"normal, dry, combination"
