,product_name,price,skin_types
3,AMELIORATE Transforming Body Lotion 200ml,£22.50,"dry, sensitive"
4,CeraVe Moisturising Cream 454g,£16.00,"dry, sensitive"
5,CeraVe Moisturising Lotion 473ml,£15.00,"normal,dry,sensitive"
6,CeraVe Facial Moisturising Lotion No SPF 52ml,£13.00,"dry, sensitive"
7,The Ordinary Natural Moisturizing Factors + HA 100ml,£6.80,"dry, sensitive"
10,CeraVe Moisturising Cream 50ml,£4.00,"dry, sensitive"
11,CeraVe Moisturising Cream 340g,£13.00,"dry, sensitive"
12,First Aid Beauty Ultra Repair Cream (56.7g),£12.00,"dry,sensitive,normal"
13,Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml),£16.00,sensitive
15,First Aid Beauty Ultra Repair Cream (170g),£25.00,"dry,sensitive"
16,Weleda Skin Food (75ml),£12.95,"dry, sensitive"
18,Egyptian Magic All Purpose Skin Cream 118ml/4oz,£30.00,"dry, sensitive"
19,JASON Aloe Vera 98% Moisturising Gel Tube 113g,£2.99,sensitive
20,CeraVe Moisturising Cream 177ml,£9.00,"dry, sensitive"
21,Embryolisse Lait-Crème Concentré (75ml),£20.00,"oily,combination,dry,sensitive"
27,Avène Tolérance Extrême Emulsion 50ml,£11.25,"dry, sensitive"
29,Embryolisse Lait-Crème Concentré (30ml),£13.00,"dry,normal,sensitive"
30,The Chemistry Brand Intense Youth Complex Hand Cream 100ml,£18.99,"dry, sensitive"
31,Avène Tolérance Extrême Cream 50ml,£15.00,"dry,sensitive"
32,La Roche-Posay Toleriane Ultra Overnight Moisturiser 40ml,£19.00,"dry, sensitive"
35,Avène Aqua Gel 50ml,£20.00,"dry,sensitive"
37,The INKEY List Snow Mushroom,£9.99,"normal,dry,sensitive"
38,Weleda Skin Food (30ml),£7.95,"dry, sensitive"
39,Egyptian Magic All Purpose Skin Cream 59ml/2oz,£20.00,"dry, sensitive"
41,Origins GinZing™ Energy-Boosting Tinted Moisturiser SPF40 50ml,£32.00,"combination, oily, sensitive"
44,Skin Doctors Sd White & Bright (50ml),£21.99,"combination,sensitive"
47,PRAI AGELESS Throat & Decolletage Crème 50ml,£24.99,"dry,sensitive"
48,La Roche-Posay Toleriane Sensitive Fluid Moisturiser 40ml,£16.50,sensitive
50,Mama Mio The Tummy Rub Butter 120ml - Fragrance Free,£24.00,"dry, sensitive"
52,Elemis Pro-Collagen Marine Cream 50ml,£87.00,"normal,dry,sensitive"
53,La Roche-Posay Toleriane Ultra Fluid 40ml,£18.50,"dry, sensitive"
54,Clinique Moisture Surge 72-Hour Auto-Replenishing Hydrator 15ml,£12.00,"dry, sensitive"
58,The INKEY List Multi-Biotic Moisturiser 30ml,£12.99,"normal,sensitive"
59,Caudalie Vinosource Moisturising Sorbet 40ml,£23.00,"dry, sensitive"
61,The INKEY List Turmeric Moisturiser 30ml,£7.99,"dry,sensitive"
63,La Roche-Posay Toleriane Sensitive Moisturiser 40ml,£16.50,sensitive
64,Avene Hydrance Hydrating Cream 40ml,£15.50,"dry, sensitive"
70,Antipodes Baptise H20 Ultra-Hydrating Water Gel 60ml,£25.58,"oily, dry, combination, sensitive"
72,Bulldog Sensitive Moisturiser 100ml,£4.50,sensitive
73,Dr.Jart+ Ceramidin Cream 50ml,£35.50,"dry, sensitive"
75,Antipodes Avocado Pear Nourishing Night Cream 60ml,£34.99,"dry,sensitive"
77,NIOD Hydration Vaccine Face Cream 50ml,£35.00,"oily,combination,sensitive"
78,The INKEY List Peptide Moisturizer 50ml,£14.99,"dry, sensitive"
82,Murad Hydro-Dynamic™ Ultimate Moisture (50ml),£60.00,"dry, sensitive"
83,Clinique Redness Solutions Daily Relief Cream 50ml,£42.00,"Dry, sensitive"
84,DECLÉOR Hydra Floral Anti-Pollution Hydrating Rich Cream,£32.20,"dry, sensitive"
86,Weleda Skin Food 75ml - Light,£12.95,"dry,sensitive"
87,Clinique Moisture Surge SPF25 Sheertint Hydrator - Universal Light Medium 40ml,£30.00,"combination, sensitive"
89,COSRX Advanced Snail 92 All in One Cream 100ml,£27.00,"oily,combination,dry,sensitive"
93,Sukin Sensitive Facial Moisturiser (125ml),£7.95,sensitive
95,First Aid Beauty Coconut Skin Smoothie Priming Moisturiser,£20.50,"dry,sensitive"
96,Avène Rich Revitalizing Nourishing Cream 50ml,£17.50,"dry, sensitive"
97,REN Clean Skincare Evercalm Global Protection Day Cream,£34.00,"Dry,Sensitive"
98,Fade Out ADVANCED + Age Protection Even Skin Tone Day Cream SPF 25 50ml,£12.99,"oily, combination, sensitive"
100,Alpha-H Daily Essential Moisturiser Spf50+ (50ml),£29.00,"combination,sensitive"
101,Pai Skincare Chamomile and Rosehip Calming Day Cream 50ml,£38.00,"dry,sensitive"
104,Elemis Peptide4 Plumping Pillow Facial,£52.00,"combination, sensitive"
107,AMELIORATE Transforming Body Cream 225ml,£27.50,"dry, sensitive"
108,"JASON Age Renewal Vitamin E 25,000iu Cream (120g)",£9.99,"dry, sensitive"
110,Mama Mio The Tummy Rub Butter 120ml - Lavender and Mint,£24.00,"dry, sensitive"
111,Neal's Yard Remedies Vitamin E and Avocado Night Cream 50g,£22.00,"dry, sensitive"
112,First Aid Beauty Ultra Repair Face Moisturiser (50ml),£20.00,"dry, sensitive, combination"
116,The Ordinary Buffet Supersize Serum 60ml,£24.40,"dry, combination, sensitive"
119,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 30ml,£52.20,"normal,dry,sensitive"
120,Estée Lauder Advanced Night Repair Synchronized Recovery Complex II 50ml,£70.20,"normal,dry,combination,sensitive"
121,The Ordinary Hyaluronic Acid 2% + B5 Supersize Serum 60ml,£11.00,"oily, combination, sensitive"
122,The Ordinary Marine Hyaluronics 30ml,£6.20,"oily, combination, sensitive"
124,VICHY Minéral 89 Hyaluronic Acid Hydration Booster 50ml,£25.00,"normal,dry,sensitive"
128,Medik8 Hydr8 B5 Serum 30ml,£40.00,"normal,dry,sensitive"
130,By Terry Cellularose CC Serum 30ml (Various Shades),£61.00,"dry,sensitive"
132,NIOD Multi-Molecular Hyaluronic Complex 15ml,£25.00,"dry,sensitive"
137,Tan-Luxe Super Glow Body Hyaluronic Self-Tan Serum 150ml,£35.00,"dry,sensitive"
138,La Roche-Posay Rosaliac AR Intense Serum 40ml,£19.50,Sensitive
139,La Roche-Posay Toleriane Ultra Cream,£18.50,"dry, sensitive"
148,Sanctuary Spa Hyaluronic Wonder Oil Serum 30ml,£20.00,"dry, sensitive"
152,REN Clean Skincare Evercalm Anti-Redness Serum,£32.00,sensitive
160,Caudalie VineActiv Glow Activating Anti-Wrinkle Serum 30ml,£36.00,"dry,sensitive"
161,Sukin Super Greens Recovery Serum 30ml,£13.95,"dry,sensitive"
162,Pai Skincare Back to Life Hydration Serum 30ml,£42.00,"dry,sensitive"
163,OSKIA Super 16 Serum (30ml),£90.00,"normal,dry,sensitive"
167,DECLÉOR Organic Aromessence Rose d'Orient Soothing Comfort Oil Serum,£36.40,"dry,sensitive"
168,Lancôme Advanced Génifique Youth Activating Serum 30ml,£53.55,"oily, combination, sensitive"
170,Lancôme Advanced Génifique Youth Activating Serum 75ml,£90.45,"oily,dry,combination,sensitive"
173,Holika Holika 3 Seconds Starter (Hyaluronic Acid),£12.95,"dry, sensitive"
176,Elizabeth Arden SuperStart Skin Renewal Booster 50ml,£60.00,"dry,sensitive"
178,SkinCeuticals Discoloration Defense Corrective Serum 30ml,£85.00,"oily,combination,sensitive"
179,Aurelia Probiotic Skincare Revitalise & Glow Serum 30ml,£51.20,"oily, combination, sensitive"
181,Estée Lauder Perfectionist [CP+R] Wrinkle Lifting/Firming Serum 30ml,£55.80,"dry,sensitive"
182,DECLÉOR Aromessence Magnolia Youthful Oil Serum 15ml 0.5oz,£49.00,"dry,sensitive"
185,Pai Skincare Instant Calm Redness Serum Sea Aster and Wild Oat 30ml,£46.00,sensitive
186,Gallinée Probiotic Youthful Serum 30ml,£38.25,"normal,sensitive"
187,PIXI Hydrating Milky Serum 30ml,£26.00,"dry, sensitive"
188,Darphin Intral Redness Relief Soothing Serum,£74.00,sensitive
189,Zelens Z Hyaluron Hyaluronic Acid Complex Serum Drops 30ml,£55.00,"dry, sensitive"
194,Elizabeth Arden Prevage Face Advanced Anti-Aging Serum (50ml),£170.00,"dry,normal,sensitive"
195,Liz Earle Superskin Face Serum 30ml Pump,£45.00,"dry,sensitive"
198,Indeed Labs Eysilix Serum 2 15ml,£19.99,"dry,sensitive"
199,Natio Advanced Lifting and Firming Serum (30ml),£15.20,"dry, sensitive"
200,Holika Holika 3 Seconds Starter (Collagen),£12.95,"oily,dry,combination,sensitive"
205,L'Oreal Paris Dermo Expertise Revitalift Laser Renew Anti-ageing Triple Action Super Serum (30ml),£24.99,"dry,sensitive"
207,Lancôme Visionnaire Serum Plus 30ml,£57.60,"combination,sensitive"
208,Aurelia Skincare Firm & Replenish Body Serum 250ml,£38.40,"dry,sensitive"
209,Chantecaille Vital Essence 50ml,£96.00,"dry,sensitive"
213,FOREO 'Serum Serum Serum' Micro-Capsule Youth Preserve,£49.00,"dry,sensitive"
215,Sukin Hydration Biomarine Facial Serum 30ml,£19.95,"dry, dehydrated, sensitive"
221,Darphin Hydraskin Serum 30ml,£48.00,"dry,sensitive"
225,Green People Age Defy+ Line Eraser Lip & Eye Serum (10ml),£27.60,"dry,sensitive"
228,DHC Deep Cleansing Oil 30ml,£5.00,"dry, sensitive"
